Handle,ProductVersionType,Price,UnitCost,Barcodes,LowInventoryThreshold,BaseProductName,BaseProductPosName,ShortDescription,LongDescription,IsPublished,IsOrderable,MaxPerPersonOrderQty,ValidToDate,ProductCategories,RequirementCategories,RestrictionCategories,TaxCategories,Vendor
Hot Chocolate,Standard,4.50,,DBG00000083,,Hot Chocolate,Hot Choccolate,Hot Chocolate,,true,false,,,House-made Beverages;,,,,
Hot Chocolate Toppings,Standard,0.70,,DBG00000217,,Hot Chocolate Toppings,HotChocToppings,Hot Chocolate Toppings,,true,false,,,House-made Beverages;,,,,
House-Made Lemonade,Standard,1.40,,"DBG00000218,DBG00000092",,House-Made Lemonade,HsMadeLmnd,House-Made Lemonade,,true,false,,,House-made Beverages;,,,,
House-Made Watermelon Lemonade,Standard,2.75,,"DBG00000219,DBG00000205",,House-Made Watermelon Lemonade,HsMadeWtmlLmnde,House-Made Watermelon Lemonade,,true,false,,,House-made Beverages;,,,,
Lemonade Iced Tea,Standard,2.75,,DBG00000220,,Lemonade Iced Tea,LemonadeIcedTea,Lemonade Iced Tea,,true,false,,,House-made Beverages;,,,,
Lemonade with Strawberry Popping Pearls,Standard,3.75,,DBG00000221,,Lemonade with Strawberry Popping Pearls,LmndStrwPppngPr,Lemonade with Strawberry Popping Pearls,,true,false,,,House-made Beverages;,,,,
Popping Passion Fruit Lemonade,Standard,3.75,,DBG00000222,,Popping Passion Fruit Lemonade,PpngPssnFrtLmnd,Popping Passion Fruit Lemonade,,true,false,,,House-made Beverages;,,,,
Popping Passion Fruit Tea,Standard,3.75,,DBG00000223,,Popping Passion Fruit Tea,PpngPssnFrtTea,Popping Passion Fruit Tea,,true,false,,,House-made Beverages;,,,,
Popping Peach Mango Tea,Standard,3.75,,DBG00000224,,Popping Peach Mango Tea,PpngPchMngTea,Popping Peach Mango Tea,,true,false,,,House-made Beverages;,,,,
Popping Vietnamese Coffee,Standard,3.75,,DBG00000225,,Popping Vietnamese Coffee,PpngVietCoff,Popping Vietnamese Coffee,,true,false,,,House-made Beverages;,,,,
Premium House Bottle Drinks,Standard,3.50,,DBG00000226,,Premium House Bottle Drinks,PrmmHsBttlDrnks,Premium House Bottle Drinks,,true,false,,,House-made Beverages;,,,,
Raspberry Tea,Standard,2.75,,DBG00000227,,Raspberry Tea,Raspberry Tea,Raspberry Tea,,true,false,,,House-made Beverages;,,,,
Strawberry Banana Smoothie,Standard,4.00,,DBG00000228,,Strawberry Banana Smoothie,StrwBnnSmth,Strawberry Banana Smoothie,,true,false,,,House-made Beverages;,,,,
Sweetened Iced Tea,Standard,1.40,,DBG00000136,,Sweetened Iced Tea,Swt Tea,Sweetened Iced Tea,,true,false,,,House-made Beverages;,,,,
Tropical Melon Green Smoothie,Standard,4.00,,DBG00000229,,Tropical Melon Green Smoothie,TrpclMlnGrnSmth,Tropical Melon Green Smoothie,,true,false,,,House-made Beverages;,,,,
Vietnamese Coffee,Standard,3.50,,DBG00000144,,Vietnamese Coffee,Viet Coffee,Vietnamese Coffee,,true,false,,,House-made Beverages;,,,,
Arrezzio Lemon Italian Ice,Standard,3.50,,DBG00000230,,Arrezzio Lemon Italian Ice,Arz Lmn IT Ice,Arrezzio Lemon Italian Ice,,true,false,,,Ice Cream;,,,,
Arrezzio Strawberry Italian Ice,Standard,3.50,,DBG00000231,,Arrezzio Strawberry Italian Ice,Arz Strw IT Ice,Arrezzio Strawberry Italian Ice,,true,false,,,Ice Cream;,,,,
Banjo Classic,Standard,4.15,,DBG00000232,,Banjo Classic,Banjo Clsc,Banjo Classic,,true,false,,,Ice Cream;,,,,
Chocolate Cup,Standard,4.75,,DBG00000233,,Chocolate Cup,Choc Cup,Chocolate Cup,,true,false,,,Ice Cream;,,,,
Chocolate Eclair Stick,Standard,4.15,,DBG00000234,,Chocolate Eclair Stick,ChocEclairStick,Chocolate Eclair Stick,,true,false,,,Ice Cream;,,,,
Chocolate Sundae,Standard,4.75,,DBG00000235,,Chocolate Sundae,Choc Sundae,Chocolate Sundae,,true,false,,,Ice Cream;,,,,
Cotton Candy Ice Cream Cup,Standard,4.75,,DBG00000236,,Cotton Candy Ice Cream Cup,CttnCndyIceCrmC,Cotton Candy Ice Cream Cup,,true,false,,,Ice Cream;,,,,
Dulce de leche,Standard,4.75,,DBG00000237,,Dulce de leche,Dulce De Leche,Dulce de leche,,true,false,,,Ice Cream;,,,,
Fudjo Bar,Standard,4.15,,DBG00000238,,Fudjo Bar,Fudjo Bar,Fudjo Bar,,true,false,,,Ice Cream;,,,,
Ice Cream Sand Mint (Giant),Standard,4.15,,DBG00000239,,Ice Cream Sand Mint (Giant),IceCrmSandMintG,Ice Cream Sand Mint (Giant),,true,false,,,Ice Cream;,,,,
Ice Cream Sand Vanilla (Giant),Standard,4.15,,DBG00000240,,Ice Cream Sand Vanilla (Giant),IceCrmSandVnllG,Ice Cream Sand Vanilla (Giant),,true,false,,,Ice Cream;,,,,
Incredible Cone,Standard,4.75,,DBG00000241,,Incredible Cone,Incredible Cone,Incredible Cone,,true,false,,,Ice Cream;,,,,
Incredible Ice Cherry,Standard,3.50,,DBG00000242,,Incredible Ice Cherry,IncrdbIceChrry,Incredible Ice Cherry,,true,false,,,Ice Cream;,,,,
Midnight Caramel River,Standard,4.75,,DBG00000243,,Midnight Caramel River,MdnghtCrmlRvr,Midnight Caramel River,,true,false,,,Ice Cream;,,,,
Orange Blossom Bar,Standard,4.15,,DBG00000244,,Orange Blossom Bar,OrngBlssmBar,Orange Blossom Bar,,true,false,,,Ice Cream;,,,,
Polar Bear Bownie,Standard,4.75,,DBG00000245,,Polar Bear Bownie,PolarBearBownie,Polar Bear Bownie,,true,false,,,Ice Cream;,,,,
Polar Bear Choc Chip,Standard,4.75,,DBG00000246,,Polar Bear Choc Chip,PlrBearChocChip,Polar Bear Choc Chip,,true,false,,,Ice Cream;,,,,
Polar Bear Cook Crea,Standard,4.75,,DBG00000247,,Polar Bear Cook Crea,PlrBearCookCrea,Polar Bear Cook Crea,,true,false,,,Ice Cream;,,,,
Strawberry Shortcake Stick,Standard,4.15,,DBG00000248,,Strawberry Shortcake Stick,StrwShrtckStck,Strawberry Shortcake Stick,,true,false,,,Ice Cream;,,,,
Strawberry Sundae,Standard,4.75,,DBG00000249,,Strawberry Sundae,Straw Sundae,Strawberry Sundae,,true,false,,,Ice Cream;,,,,
Super Cookies and Cream Cone,Standard,4.75,,DBG00000250,,Super Cookies and Cream Cone,SuprCksCrmCone,Super Cookies and Cream Cone,,true,false,,,Ice Cream;,,,,
Tropikool Mango,Standard,4.15,,DBG00000251,,Tropikool Mango,Tropikool Mango,Tropikool Mango,,true,false,,,Ice Cream;,,,,
Tropikool Strawberry,Standard,4.15,,DBG00000252,,Tropikool Strawberry,Tropikool Straw,Tropikool Strawberry,,true,false,,,Ice Cream;,,,,
NO ID,Standard,0.00,,DBG00000253,,NO ID,No Id,NO ID,,true,false,,,Misc Operation;,,,,
Assorted Gelatin,Standard,2.50,,DBG00000254,,Assorted Gelatin,Asst Gelatin,Assorted Gelatin,,true,false,,,Packaged Desserts;,,,,
Cake in a Cup,Standard,3.75,,DBG00000255,,Cake in a Cup,Cake In Cup,Cake in a Cup,,true,false,,,Packaged Desserts;,,,,
Oreo® Cheesecake,Standard,3.75,,DBG00000100,,Oreo® Cheesecake,Oreo Cheesecake,Oreo® Cheesecake,,true,false,,,Packaged Desserts;,,,,
Open House Boxed Lunch,Standard,7.00,,DBG00000256,,Open House Boxed Lunch,OpenHsBxdLnch,Open House Boxed Lunch,,true,false,,,Packaged Entree;,,,,
Baja Style House Fried Potato Chips,Standard,2.00,,DBG00000257,,Baja Style House Fried Potato Chips,BajaHsFrdPotChp,Baja Style House Fried Potato Chips,,true,false,,,Packaged Snacks;,,,,
Belvita Blueberry,Standard,2.00,,DBG00000258,,Belvita Blueberry,BlvtBlbrry,Belvita Blueberry,,true,false,,,Packaged Snacks;,,,,
Blueberry Muffin Trifle,Standard,3.75,,DBG00000259,,Blueberry Muffin Trifle,BlbrryMffnTrfl,Blueberry Muffin Trifle,,true,false,,,Packaged Snacks;,,,,
Cheez It,Standard,2.00,,DBG00000260,,Cheez It,Cheez It,Cheez It,,true,false,,,Packaged Snacks;,,,,
Chester's Hot Fries,Standard,2.00,,DBG00000261,,Chester's Hot Fries,ChstrSHotFrs,Chester's Hot Fries,,true,false,,,Packaged Snacks;,,,,
Chex Mix,Standard,2.00,,DBG00000262,,Chex Mix,Chex Mix,Chex Mix,,true,false,,,Packaged Snacks;,,,,
Doritos Cool Ranch,Standard,2.00,,DBG00000263,,Doritos Cool Ranch,DrtsCoolRnch,Doritos Cool Ranch,,true,false,,,Packaged Snacks;,,,,
Doritos Nacho,Standard,2.00,,DBG00000264,,Doritos Nacho,Doritos Nacho,Doritos Nacho,,true,false,,,Packaged Snacks;,,,,
Fig Bar Apple Cinnamon,Standard,2.00,,DBG00000265,,Fig Bar Apple Cinnamon,FigBarAppleCin,Fig Bar Apple Cinnamon,,true,false,,,Packaged Snacks;,,,,
Fig Bar Blueberry,Standard,2.00,,DBG00000266,,Fig Bar Blueberry,FigBarBlueberry,Fig Bar Blueberry,,true,false,,,Packaged Snacks;,,,,
Fig Bar Peach Apricot,Standard,2.00,,DBG00000267,,Fig Bar Peach Apricot,FigBarPchAprct,Fig Bar Peach Apricot,,true,false,,,Packaged Snacks;,,,,
Fig Bar Raspberry,Standard,2.00,,DBG00000268,,Fig Bar Raspberry,FigBarRaspberry,Fig Bar Raspberry,,true,false,,,Packaged Snacks;,,,,
Fig Bar Strawberry,Standard,2.00,,DBG00000269,,Fig Bar Strawberry,Fig Bar Straw,Fig Bar Strawberry,,true,false,,,Packaged Snacks;,,,,
Flaming Cheetos,Standard,2.00,,DBG00000270,,Flaming Cheetos,Flaming Cheetos,Flaming Cheetos,,true,false,,,Packaged Snacks;,,,,
Fritos BBQ Twist,Standard,2.00,,DBG00000271,,Fritos BBQ Twist,FritosBbqTwist,Fritos BBQ Twist,,true,false,,,Packaged Snacks;,,,,
Frozen Grapes,Standard,2.75,,DBG00000272,,Frozen Grapes,Frozen Grapes,Frozen Grapes,,true,false,,,Packaged Snacks;,,,,
Fudge Stripes,Standard,2.00,,DBG00000273,,Fudge Stripes,Fudge Stripes,Fudge Stripes,,true,false,,,Packaged Snacks;,,,,
Gardettos,Standard,2.00,,DBG00000274,,Gardettos,Gardettos,Gardettos,,true,false,,,Packaged Snacks;,,,,
Gold Fish,Standard,2.00,,DBG00000275,,Gold Fish,Gold Fish,Gold Fish,,true,false,,,Packaged Snacks;,,,,
House Made Spicy Dill Chips,Standard,2.00,,DBG00000276,,House Made Spicy Dill Chips,HsMadeSpcyDillC,House Made Spicy Dill Chips,,true,false,,,Packaged Snacks;,,,,
House-Made Ranch Chip,Standard,2.00,,DBG00000277,,House-Made Ranch Chip,HsMadeRnchChip,House-Made Ranch Chip,,true,false,,,Packaged Snacks;,,,,
House-Made Sweet Heat Chips,Standard,2.00,,DBG00000278,,House-Made Sweet Heat Chips,HousMdeSwtHtChp,House-Made Sweet Heat Chips,,true,false,,,Packaged Snacks;,,,,
Lays BBQ,Standard,2.00,,DBG00000279,,Lays BBQ,Lays Bbq,Lays BBQ,,true,false,,,Packaged Snacks;,,,,
Lays Sour Cream 1.5 oz,Standard,2.00,,DBG00000280,,Lays Sour Cream 1.5 oz,LS Cream 1 5 Oz,Lays Sour Cream 1.5 oz,,true,false,,,Packaged Snacks;,,,,
Miss Vickies Jalapeno,Standard,2.00,,DBG00000281,,Miss Vickies Jalapeno,MissVickiesJal,Miss Vickies Jalapeno,,true,false,,,Packaged Snacks;,,,,
Miss Vickies Salt Vinegar,Standard,2.00,,DBG00000282,,Miss Vickies Salt Vinegar,MissVcksSaltVng,Miss Vickies Salt Vinegar,,true,false,,,Packaged Snacks;,,,,
Miss Vickies Sea Salt,Standard,2.00,,DBG00000283,,Miss Vickies Sea Salt,MissVcksSeaSalt,Miss Vickies Sea Salt,,true,false,,,Packaged Snacks;,,,,
Mott's Fruit,Standard,2.00,,DBG00000284,,Mott's Fruit,Mott S Frt,Mott's Fruit,,true,false,,,Packaged Snacks;,,,,
Mott's Mixed Berry,Standard,2.00,,DBG00000285,,Mott's Mixed Berry,MottSMixedBerry,Mott's Mixed Berry,,true,false,,,Packaged Snacks;,,,,
Ms. Vickie BBQ,Standard,3.00,,DBG00000286,,Ms. Vickie BBQ,Ms Vickie Bbq,Ms. Vickie BBQ,,true,false,,,Packaged Snacks;,,,,
Nutrigrain Bar Ap Cin,Standard,2.00,,DBG00000287,,Nutrigrain Bar Ap Cin,NtrgrnBarApCin,Nutrigrain Bar Ap Cin,,true,false,,,Packaged Snacks;,,,,
Nutrigrain Bar Blue,Standard,2.00,,DBG00000288,,Nutrigrain Bar Blue,NtrgrnBarBlue,Nutrigrain Bar Blue,,true,false,,,Packaged Snacks;,,,,
Nutrigrain Bar Straw,Standard,2.00,,DBG00000289,,Nutrigrain Bar Straw,NtrgrnBarStrw,Nutrigrain Bar Straw,,true,false,,,Packaged Snacks;,,,,
Oreo Mini,Standard,2.00,,DBG00000290,,Oreo Mini,Oreo Mini,Oreo Mini,,true,false,,,Packaged Snacks;,,,,
Oreo Mini - 3 oz,Standard,2.00,,DBG00000291,,Oreo Mini - 3 oz,Oreo Mini 3 Oz,Oreo Mini - 3 oz,,true,false,,,Packaged Snacks;,,,,
Pretzels Roll Gold,Standard,2.00,,DBG00000292,,Pretzels Roll Gold,PrtzlsRollGold,Pretzels Roll Gold,,true,false,,,Packaged Snacks;,,,,
Regular Lays Chips,Standard,2.00,,DBG00000293,,Regular Lays Chips,RglrLaysChps,Regular Lays Chips,,true,false,,,Packaged Snacks;,,,,
Smartfood Popcorn,Standard,2.00,,DBG00000294,,Smartfood Popcorn,SmrtfdPpcrn,Smartfood Popcorn,,true,false,,,Packaged Snacks;,,,,
Treat Rice Krispie,Standard,2.00,,DBG00000295,,Treat Rice Krispie,TrtRiceKrsp,Treat Rice Krispie,,true,false,,,Packaged Snacks;,,,,
Welch's Fruit Snacks - Mixed,Standard,2.00,,DBG00000296,,Welch's Fruit Snacks - Mixed,WlchSFrtSncksMx,Welch's Fruit Snacks - Mixed,,true,false,,,Packaged Snacks;,,,,
Bacon Cheeseburger Combo,Standard,6.50,,"DBG00000149,DBG00000297",,Bacon Cheeseburger Combo,Bcn Chzbrg Cmb,Bacon Cheeseburger Combo,,true,false,,,Plated Entree;,,,,
Bacon Cheeseburgers,Standard,4.75,,"DBG00000009,DBG00000298",,Bacon Cheeseburgers,BcnChsbrg,Bacon Cheeseburgers,,true,false,,,Plated Entree;,,,,
Bacon-Cheddar Chicken Sandwich,Standard,4.75,,DBG00000299,,Bacon-Cheddar Chicken Sandwich,BcnChdChickSand,Bacon-Cheddar Chicken Sandwich,,true,false,,,Plated Entree;,,,,
Bacon-Cheddar Chicken Sandwich Comb,Standard,6.50,,DBG00000300,,Bacon-Cheddar Chicken Sandwich Comb,BcnChdChkSndCmb,Bacon-Cheddar Chicken Sandwich Comb,,true,false,,,Plated Entree;,,,,
Bang Bang Chicken,Standard,5.05,,DBG00000301,,Bang Bang Chicken,Bang Bang Chick,Bang Bang Chicken,,true,false,,,Plated Entree;,,,,
Bang Bang Chicken Combo,Standard,6.10,,DBG00000302,,Bang Bang Chicken Combo,BangBangChkCmb,Bang Bang Chicken Combo,,true,false,,,Plated Entree;,,,,
Bang Bang Rice and Noodle Bowl,Standard,6.10,,DBG00000150,,Bang Bang Rice and Noodle Bowl,BangRiceNdlBwl,Bang Bang Rice and Noodle Bowl,,true,false,,,Plated Entree;,,,,
Bang Bang Shrimp Bowl,Standard,7.10,,DBG00000303,,Bang Bang Shrimp Bowl,BangBangShrmpBo,Bang Bang Shrimp Bowl,,true,false,,,Plated Entree;,,,,
Bang Bang Tofu,Standard,5.05,,"DBG00000304,DBG00000305",,Bang Bang Tofu,Bang Bang Tofu,Bang Bang Tofu,,true,false,,,Plated Entree;,,,,
Bang Bang Tofu Rice Bowl,Standard,6.10,,DBG00000306,,Bang Bang Tofu Rice Bowl,BangBangTofuRic,Bang Bang Tofu Rice Bowl,,true,false,,,Plated Entree;,,,,
BBQ Chicken Pizza,Standard,4.75,,DBG00000307,,BBQ Chicken Pizza,Bbq Chick Pizza,BBQ Chicken Pizza,,true,false,,,Plated Entree;,,,,
BBQ Chicken Pizza Combo,Standard,6.50,,DBG00000308,,BBQ Chicken Pizza Combo,BbqChickPzzaCmb,BBQ Chicken Pizza Combo,,true,false,,,Plated Entree;,,,,
BBQ Pork Pizza Combo,Standard,6.50,,DBG00000309,,BBQ Pork Pizza Combo,BbqPorkPizzaCmb,BBQ Pork Pizza Combo,,true,false,,,Plated Entree;,,,,
BBQ Pulled Pork,Standard,5.05,,DBG00000310,,BBQ Pulled Pork,Bbq Pulled Pork,BBQ Pulled Pork,,true,false,,,Plated Entree;,,,,
BBQ Pulled Pork Pizza,Standard,4.75,,DBG00000311,,BBQ Pulled Pork Pizza,BbqPlldPorkPzz,BBQ Pulled Pork Pizza,,true,false,,,Plated Entree;,,,,
Beef and Cheese Quesadillas,Standard,4.75,,DBG00000312,,Beef and Cheese Quesadillas,BC Quedillas,Beef and Cheese Quesadillas,,true,false,,,Plated Entree;,,,,
Beef Bourguignon,Standard,5.05,,DBG00000313,,Beef Bourguignon,BeefBourguignon,Beef Bourguignon,,true,false,,,Plated Entree;,,,,
Beef Quesadilla Combo,Standard,6.50,,DBG00000314,,Beef Quesadilla Combo,BeefQsdllCmb,Beef Quesadilla Combo,,true,false,,,Plated Entree;,,,,
Bibimbap Bar,Standard,6.10,,DBG00000315,,Bibimbap Bar,Bibimbap Bar,Bibimbap Bar,,true,false,,,Plated Entree;,,,,
Birria Quesadilla,Standard,4.75,,DBG00000316,,Birria Quesadilla,BrrQsdll,Birria Quesadilla,,true,false,,,Plated Entree;,,,,
Birria Quesadilla Combo,Standard,6.50,,DBG00000317,,Birria Quesadilla Combo,BrrQsdllCmb,Birria Quesadilla Combo,,true,false,,,Plated Entree;,,,,
Blackened Chicken Breast,Standard,5.05,,DBG00000318,,Blackened Chicken Breast,BlckndChkBrst,Blackened Chicken Breast,,true,false,,,Plated Entree;,,,,
Blackened Chicken Combo,Standard,6.10,,DBG00000319,,Blackened Chicken Combo,BlackenedChkCmb,Blackened Chicken Combo,,true,false,,,Plated Entree;,,,,
Build Your Own Mediterranean Bowl,Standard,6.10,,DBG00000151,,Build Your Own Mediterranean Bowl,Med Bowl,Build Your Own Mediterranean Bowl,,true,false,,,Plated Entree;,,,,
Build Your Own Moroccan Bowl,Standard,6.10,,DBG00000320,,Build Your Own Moroccan Bowl,Moroccan Bowl,Build Your Own Moroccan Bowl,,true,false,,,Plated Entree;,,,,
Build-Your-Own BBQ Bowl,Standard,6.10,,DBG00000152,,Build-Your-Own BBQ Bowl,BBQ Bwl,Build-Your-Own BBQ Bowl,,true,false,,,Plated Entree;,,,,
Build-Your-Own Cuban Plate,Standard,6.10,,DBG00000153,,Build-Your-Own Cuban Plate,Cuban Bowl,Build-Your-Own Cuban Plate,,true,false,,,Plated Entree;,,,,
Build-Your-Own Sushi Bowl,Standard,7.10,,DBG00000154,,Build-Your-Own Sushi Bowl,Sushi Bowl,Build-Your-Own Sushi Bowl,,true,false,,,Plated Entree;,,,,
Burrito Bowl or Burrito,Standard,6.10,,DBG00000155,,Burrito Bowl or Burrito,Burr Bowl,Burrito Bowl or Burrito,,true,false,,,Plated Entree;,,,,
Cajun Cheeseburger Combo,Standard,6.50,,DBG00000156,,Cajun Cheeseburger Combo,CajunChzbrgCmb,Cajun Cheeseburger Combo,,true,false,,,Plated Entree;,,,,
Cajun Cheeseburgers,Standard,4.75,,DBG00000022,,Cajun Cheeseburgers,Cjn Chs brg,Cajun Cheeseburgers,,true,false,,,Plated Entree;,,,,
Cajun Chicken Alfredo Combo,Standard,6.10,,DBG00000157,,Cajun Chicken Alfredo Combo,CajunChickAlCmb,Cajun Chicken Alfredo Combo,,true,false,,,Plated Entree;,,,,
Cajun Chicken Fettuccine Alfredo,Standard,5.05,,DBG00000024,,Cajun Chicken Fettuccine Alfredo,Cjn Chk Ftt Al,Cajun Chicken Fettuccine Alfredo,,true,false,,,Plated Entree;,,,,
Cajun Pulled Pork Sandwich,Standard,4.75,,DBG00000026,,Cajun Pulled Pork Sandwich,Cjn PldPork Snd,Cajun Pulled Pork Sandwich,,true,false,,,Plated Entree;,,,,
Cajun Pulled Pork Sandwich Combo,Standard,6.50,,DBG00000158,,Cajun Pulled Pork Sandwich Combo,CjnPldPrkSndCmb,Cajun Pulled Pork Sandwich Combo,,true,false,,,Plated Entree;,,,,
Cajun Shrimp Alfredo Sauce,Standard,5.05,,DBG00000321,,Cajun Shrimp Alfredo Sauce,CjnShrmpAlfrdSc,Cajun Shrimp Alfredo Sauce,,true,false,,,Plated Entree;,,,,
Caprese Pesto Sandwich Combo,Standard,6.50,,DBG00000159,,Caprese Pesto Sandwich Combo,CprsPstSandCmb,Caprese Pesto Sandwich Combo,,true,false,,,Plated Entree;,,,,
Carnival Corn Dogs,Standard,4.75,,DBG00000322,,Carnival Corn Dogs,CrnvlCornDogs,Carnival Corn Dogs,,true,false,,,Plated Entree;,,,,
Cheddar-Topped Shepherd's Pie,Standard,5.05,,DBG00000323,,Cheddar-Topped Shepherd's Pie,ChddrTppdShphrd,Cheddar-Topped Shepherd's Pie,,true,false,,,Plated Entree;,,,,
Cheese and Broccoli Quinoa,Standard,5.05,,DBG00000030,,Cheese and Broccoli Quinoa,Chz Broc Quinoa,Cheese and Broccoli Quinoa,,true,false,,,Plated Entree;,,,,
Cheese Pizza,Standard,3.00,,"DBG00000032,DBG00000324",,Cheese Pizza,Chz Pzza,Cheese Pizza,,true,false,,,Plated Entree;,,,,
Cheese Pizza Combo,Standard,5.50,,"DBG00000160,DBG00000325",,Cheese Pizza Combo,Chz Pizza Cmb,Cheese Pizza Combo,,true,false,,,Plated Entree;,,,,
Cheeseburger Combo,Standard,6.50,,DBG00000161,,Cheeseburger Combo,Chzbrg Cmb,Cheeseburger Combo,,true,false,,,Plated Entree;,,,,
Cheeseburgers,Standard,4.75,,DBG00000034,,Cheeseburgers,Cheeseburgers,Cheeseburgers,,true,false,,,Plated Entree;,,,,
