Recipe ID,Menu Item Name,Price,Barcode,Combo/Seasoning Item Recipe IDs
RCP00070,Grilled Cheese on Texas Toast,$4.75,DBG00000069,
RCP00071,Grilled Hamburgers with Bun,$4.75,DBG00000070,
RCP00072,Grits,$2.15,DBG00000071,
RCP00073,Ham and Cheese Croissant,$4.50,DBG00000072,
RCP00074,Ham and Cheese Sandwich,$4.50,DBG00000073,
RCP00075,Ham and Cheese Slider,$4.50,DBG00000074,
RCP00076,Ham and Cheese Sub,$4.50,DBG00000075,
RCP00077,Ham and Provolone Croissant,$4.50,DBG00000076,
RCP00078,Ham and Swiss Pretzel Roll,$4.50,DBG00000077,
RCP00079,Ham and Swiss Wrap,$3.25,DBG00000078,
RCP00080,Honey BBQ Chicken Wrap,$4.75,DBG00000079,
RCP00081,Honey Butter Chicken Biscuit,$3.75,DBG00000080,
RCP00082,Honey Mustard Chicken Tender Wrap,$3.25,DBG00000081,
RCP00083,Honey-Glazed Cornbread,$0.95,DBG00000082,
RCP00084,Hot Chocolate,$4.50,DBG00000083,
RCP00085,House-Made Basil Pesto,,DBG00000084,
RCP00086,House-Made Granola,$0.30,DBG00000085,
RCP00087,House-Made Guacamole,$0.80,DBG00000086,
RCP00088,House-Roasted Pulled Pork,$5.05,DBG00000087,
RCP00089,House-Roasted Turkey and Ham on Ciabatta,$4.50,DBG00000088,
RCP00090,Hummus and Pita Chips,$4.00,DBG00000089,
RCP00091,Italian Herb-Roasted Tomatoes,$2.70,DBG00000090,
RCP00092,Italian Wedding Soup,$2.99,DBG00000091,
RCP00093,Lemonade,$1.40,DBG00000092,
RCP00094,Linguine,$2.70,DBG00000093,
RCP00095,Louisiana-Style Dipping Sauce,,DBG00000094,
RCP00096,Mac & Cheese,$5.05,DBG00000095,
RCP00097,Marinara Sauce,,DBG00000096,
RCP00098,Mexican Chicken Quesadillas,$4.75,DBG00000097,
RCP00099,Milk (2%),$2.00,DBG00000098,
RCP00100,Mixed Berry and Vanilla Yogurt Cup,$3.75,DBG00000099,
RCP00101,Oreo® Cheesecake,$3.75,DBG00000100,
RCP00102,Oreo® Chocolate Pudding Parfait,$3.75,DBG00000101,
RCP00103,Parmesan Cheese,,DBG00000102,
RCP00104,Pasta with Marinara,,DBG00000103,
RCP00105,Penne,,DBG00000104,
RCP00106,Pepperoni Pizza,$3.50,DBG00000105,
RCP00107,"Pepperoni, Cheese, Grapes, and Crackers Pack",$5.75,DBG00000106,
RCP00108,Pesto Chicken Wrap,$3.25,DBG00000107,
RCP00109,Pesto Pasta Alfredo,$5.05,DBG00000108,
RCP00110,Pork Egg Rolls,$2.00,DBG00000109,
RCP00111,Ranch Dressing,,DBG00000110,
RCP00112,Red Beans and Rice,$5.05,DBG00000111,
RCP00113,Roasted Summer Squash,$2.70,DBG00000112,
RCP00114,Roasted Tomatoes,,DBG00000113,
RCP00115,Salsa,,DBG00000114,
RCP00116,Sausage Biscuit,$3.75,DBG00000115,
RCP00117,"Sausage, Egg, and Cheese on English Muffin",$3.75,DBG00000116,
RCP00118,Sautéed Summer Squash with Tomatoes,$2.70,DBG00000117,
RCP00119,Scrambled Eggs,$2.00,DBG00000118,
RCP00120,Seasoned White Beans,$2.70,DBG00000119,
RCP00121,Sesame Fried Rice,$2.70,DBG00000120,
RCP00122,Shrimp and Bacon with Pesto-Alfredo Sauce,$6.05,DBG00000121,
RCP00123,Sour Cream,,DBG00000122,
RCP00124,Spa Water,,DBG00000123,
RCP00125,Spicy Tofu and Broccoli Stir-Fry (GF),$5.05,DBG00000124,
RCP00126,Steamed Broccoli,$2.70,DBG00000125,
RCP00127,Steamed Edamame,$2.70,DBG00000126,
RCP00128,Steamed Green Beans,$2.70,DBG00000127,
RCP00129,Steamed White Rice,$2.70,DBG00000128,
RCP00130,Stewed Okra and Tomatoes,$2.70,DBG00000129,
RCP00131,Strawberries and Cream Cup,$3.30,DBG00000130,
RCP00132,Strawberry Yogurt and Mixed Berry Parfait,,DBG00000131,
RCP00133,Strawberry Yogurt and Strawberry Cup,$3.75,DBG00000132,
RCP00134,String Cheese,$1.25,DBG00000133,
RCP00135,Sweet & Sour Tofu,$3.50,DBG00000134,
RCP00136,Sweet and Sour Chicken,$5.05,DBG00000135,
RCP00137,Sweetened Iced Tea,$1.40,DBG00000136,
RCP00138,Tater Tots,$2.70,DBG00000137,
RCP00139,Teriyaki Tori Niku (Authentic Chicken Teriyaki),$5.05,DBG00000138,
RCP00140,Tomato and Vegetable Soup,$2.99,DBG00000139,
RCP00141,Tomato-Basil Flatbread Pizza,$4.25,DBG00000140,
RCP00142,Turkey and Provolone Sandwich,$4.50,DBG00000141,
RCP00143,Turkey Club Croissant with Cheese,$4.50,DBG00000142,
RCP00144,Vegetarian Red Beans and Rice,$5.05,DBG00000143,
RCP00145,Vietnamese Coffee,$3.50,DBG00000144,
RCP00146,Waffle Fries,$2.70,DBG00000145,
RCP00147,Waffles,,DBG00000146,
RCP00148,Water,$1.60,DBG00000147,
RCP00149,Whole Dill Pickle,$2.00,DBG00000148,
RCP00150,Bacon Cheeseburger Combo,$6.50,DBG00000149,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009"
RCP00151,Bang Bang Rice and Noodle Bowl,$6.10,DBG00000150,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045,RCPX00046,RCPX00047,RCPX00048,RCPX00049,RCPX00050,RCPX00051,RCPX00052,RCPX00053,RCPX00054,RCPX00055,RCPX00056,RCPX00057,RCPX00058,RCPX00059,RCPX00060,RCPX00061,RCPX00062,RCPX00063,RCPX00064,RCPX00065,RCPX00066,RCPX00067,RCPX00068,RCPX00069,RCPX00070,RCPX00071,RCPX00072,RCPX00073,RCPX00074,RCPX00075,RCPX00076,RCPX00077,RCPX00078,RCPX00079,RCPX00080"
RCP00152,Build Your Own Mediterranean Bowl,$6.10,DBG00000151,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045,RCPX00046,RCPX00047,RCPX00048,RCPX00049,RCPX00050,RCPX00051,RCPX00052,RCPX00053,RCPX00054,RCPX00055,RCPX00056,RCPX00057,RCPX00058,RCPX00059,RCPX00060,RCPX00061,RCPX00062,RCPX00063,RCPX00064,RCPX00065,RCPX00066,RCPX00067,RCPX00068"
RCP00153,Build-Your-Own BBQ Bowl,$6.10,DBG00000152,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045,RCPX00046,RCPX00047,RCPX00048,RCPX00049,RCPX00050,RCPX00051,RCPX00052,RCPX00053,RCPX00054,RCPX00055,RCPX00056,RCPX00057,RCPX00058,RCPX00059,RCPX00060"
RCP00154,Build-Your-Own Cuban Plate,,DBG00000153,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033"
RCP00155,Build-Your-Own Sushi Bowl,$7.10,DBG00000154,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045,RCPX00046,RCPX00047,RCPX00048,RCPX00049,RCPX00050,RCPX00051,RCPX00052,RCPX00053,RCPX00054,RCPX00055,RCPX00056,RCPX00057,RCPX00058,RCPX00059,RCPX00060,RCPX00061,RCPX00062,RCPX00063,RCPX00064,RCPX00065,RCPX00066,RCPX00067,RCPX00068"
RCP00156,Burrito Bowl or Burrito,$6.10,DBG00000155,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045,RCPX00046,RCPX00047,RCPX00048,RCPX00049,RCPX00050,RCPX00051,RCPX00052,RCPX00053,RCPX00054,RCPX00055,RCPX00056,RCPX00057,RCPX00058,RCPX00059,RCPX00060,RCPX00061,RCPX00062,RCPX00063,RCPX00064"
RCP00157,Cajun Cheeseburger Combo,$6.50,DBG00000156,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012"
RCP00158,Cajun Chicken Alfredo Combo,,DBG00000157,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016"
RCP00159,Cajun Pulled Pork Sandwich Combo,$6.50,DBG00000158,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012"
RCP00160,Caprese Pesto Sandwich Combo,$6.50,DBG00000159,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012"
RCP00161,Cheese Pizza Combo,$5.50,DBG00000160,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045"
RCP00162,Cheeseburger Combo,$6.50,DBG00000161,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012"
RCP00163,Cheeseburger Toppings,,DBG00000162,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020"
RCP00164,Chicken and Waffle Sandwich Combo,$6.50,DBG00000163,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009"
RCP00165,Chicken Bacon Ranch Pizza Combo,$6.50,DBG00000164,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012"
RCP00166,Chicken Bites Combo,$6.50,DBG00000165,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009"
RCP00167,Chicken Nugget Combo,$6.50,DBG00000166,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012"
RCP00168,Chicken Parm Combo,$6.10,DBG00000167,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020"
RCP00169,Free Style Protein Pack,$5.75,DBG00000168,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045,RCPX00046,RCPX00047,RCPX00048,RCPX00049,RCPX00050,RCPX00051,RCPX00052,RCPX00053,RCPX00054,RCPX00055,RCPX00056,RCPX00057,RCPX00058,RCPX00059,RCPX00060,RCPX00061,RCPX00062,RCPX00063,RCPX00064,RCPX00065,RCPX00066,RCPX00067,RCPX00068,RCPX00069,RCPX00070,RCPX00071,RCPX00072,RCPX00073,RCPX00074,RCPX00075,RCPX00076,RCPX00077,RCPX00078,RCPX00079,RCPX00080,RCPX00081,RCPX00082,RCPX00083,RCPX00084,RCPX00085,RCPX00086,RCPX00087,RCPX00088,RCPX00089,RCPX00090,RCPX00091,RCPX00092,RCPX00093,RCPX00094,RCPX00095,RCPX00096,RCPX00097,RCPX00098,RCPX00099,RCPX00100,RCPX00101,RCPX00102,RCPX00103,RCPX00104,RCPX00105,RCPX00106,RCPX00107,RCPX00108,RCPX00109,RCPX00110,RCPX00111,RCPX00112,RCPX00113,RCPX00114,RCPX00115,RCPX00116,RCPX00117,RCPX00118,RCPX00119,RCPX00120,RCPX00121,RCPX00122,RCPX00123,RCPX00124,RCPX00125,RCPX00126,RCPX00127,RCPX00128,RCPX00129,RCPX00130,RCPX00131,RCPX00132,RCPX00133"
RCP00170,Free Style™ Grits Bar,,DBG00000169,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045,RCPX00046,RCPX00047,RCPX00048,RCPX00049,RCPX00050,RCPX00051,RCPX00052,RCPX00053,RCPX00054,RCPX00055,RCPX00056,RCPX00057,RCPX00058,RCPX00059,RCPX00060,RCPX00061,RCPX00062,RCPX00063,RCPX00064,RCPX00065,RCPX00066,RCPX00067,RCPX00068,RCPX00069,RCPX00070,RCPX00071,RCPX00072,RCPX00073,RCPX00074,RCPX00075,RCPX00076,RCPX00077,RCPX00078,RCPX00079,RCPX00080,RCPX00081,RCPX00082,RCPX00083,RCPX00084,RCPX00085,RCPX00086,RCPX00087,RCPX00088,RCPX00089,RCPX00090,RCPX00091,RCPX00092,RCPX00093,RCPX00094,RCPX00095,RCPX00096,RCPX00097,RCPX00098,RCPX00099,RCPX00100,RCPX00101,RCPX00102,RCPX00103,RCPX00104,RCPX00105,RCPX00106,RCPX00107,RCPX00108,RCPX00109,RCPX00110,RCPX00111,RCPX00112,RCPX00113,RCPX00114,RCPX00115,RCPX00116,RCPX00117,RCPX00118,RCPX00119,RCPX00120,RCPX00121,RCPX00122,RCPX00123,RCPX00124,RCPX00125,RCPX00126,RCPX00127,RCPX00128,RCPX00129,RCPX00130,RCPX00131,RCPX00132,RCPX00133,RCPX00134,RCPX00135,RCPX00136,RCPX00137,RCPX00138,RCPX00139,RCPX00140,RCPX00141,RCPX00142,RCPX00143,RCPX00144,RCPX00145,RCPX00146,RCPX00147"
RCP00171,Fresh For You Salad Bar,$6.25,DBG00000170,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045,RCPX00046,RCPX00047,RCPX00048,RCPX00049,RCPX00050,RCPX00051,RCPX00052,RCPX00053,RCPX00054,RCPX00055,RCPX00056,RCPX00057,RCPX00058,RCPX00059,RCPX00060,RCPX00061,RCPX00062,RCPX00063,RCPX00064,RCPX00065,RCPX00066,RCPX00067,RCPX00068,RCPX00069,RCPX00070,RCPX00071,RCPX00072,RCPX00073,RCPX00074,RCPX00075,RCPX00076,RCPX00077,RCPX00078,RCPX00079,RCPX00080,RCPX00081,RCPX00082,RCPX00083,RCPX00084,RCPX00085,RCPX00086,RCPX00087,RCPX00088,RCPX00089,RCPX00090,RCPX00091,RCPX00092,RCPX00093,RCPX00094,RCPX00095,RCPX00096,RCPX00097,RCPX00098,RCPX00099,RCPX00100,RCPX00101,RCPX00102,RCPX00103,RCPX00104,RCPX00105,RCPX00106,RCPX00107,RCPX00108,RCPX00109,RCPX00110,RCPX00111,RCPX00112,RCPX00113,RCPX00114,RCPX00115,RCPX00116,RCPX00117,RCPX00118,RCPX00119,RCPX00120,RCPX00121,RCPX00122,RCPX00123,RCPX00124,RCPX00125,RCPX00126,RCPX00127,RCPX00128,RCPX00129,RCPX00130,RCPX00131,RCPX00132,RCPX00133,RCPX00134,RCPX00135,RCPX00136,RCPX00137,RCPX00138,RCPX00139,RCPX00140,RCPX00141"
RCP00172,Fried Chicken Sandwich Combo,$6.50,DBG00000171,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012"
RCP00173,Grilled Burger Topping Bar,,DBG00000172,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020"
RCP00174,Grilled Cheese Combo,$6.50,DBG00000173,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012"
RCP00175,Half Wrap Chips Combo,$5.25,DBG00000174,"RCPX00001,RCPX00002,RCPX00003"
RCP00176,Half Wrap Fruit Combo,$4.30,DBG00000175,"RCPX00001,RCPX00002,RCPX00003"
RCP00177,Hamburger Combo,$6.50,DBG00000176,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012"
RCP00178,Honey BBQ Chicken Wrap Combo,$6.50,DBG00000177,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012"
RCP00179,Jambalaya Combo,$6.10,DBG00000178,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020"
RCP00180,Loaded Mac & Cheese Bar,$6.10,DBG00000179,"RCPX00001,RCPX00002,RCPX00003,RCPX00004,RCPX00005,RCPX00006,RCPX00007,RCPX00008,RCPX00009,RCPX00010,RCPX00011,RCPX00012,RCPX00013,RCPX00014,RCPX00015,RCPX00016,RCPX00017,RCPX00018,RCPX00019,RCPX00020,RCPX00021,RCPX00022,RCPX00023,RCPX00024,RCPX00025,RCPX00026,RCPX00027,RCPX00028,RCPX00029,RCPX00030,RCPX00031,RCPX00032,RCPX00033,RCPX00034,RCPX00035,RCPX00036,RCPX00037,RCPX00038,RCPX00039,RCPX00040,RCPX00041,RCPX00042,RCPX00043,RCPX00044,RCPX00045"
