RowId,Source,SourceKey,ItemName,Price,Barcode,OldCategory,Category,BaseProductPosName,Status,Edited,DeletedReason,MergeTargetRowId,MergeTransferredBarcodes,MergeTargetBarcodeBefore,MergeTargetBarcodeAfter,MergeActionTimestamp,ReviewReason
row-18,recipe+odin,debug-source-00018,Breadsticks,0.95,DBG00000018,Bread,Bread,Breadsticks,pos_ready,false,,,,,,,
row-19,recipe+odin,debug-source-00019,Breakfast Sausage Patties,2.00,DBG00000019,Breakfast,Breakfast,Bfast Ssg Pty,pos_ready,false,,,,,,,
row-20,recipe+odin,debug-source-00020,Broccoli-Cheddar Soup,2.99,"DBG00000020,DBG00000407",Soups and Ladles,Rice Bowls,Broc Chd Soup,pos_ready,true,,,,,,,
row-21,recipe+odin,debug-source-00021,Buffalo Ranch Chicken Wrap,3.25,DBG00000021,Sandwiches,Transit Entree,BffRnch ChkWrap,pos_ready,false,,,,,,,
row-22,recipe+odin,debug-source-00022,Cajun Cheeseburgers,4.75,DBG00000022,Entrees,Plated Entree,Cjn Chs brg,pos_ready,false,,,,,,,
row-23,recipe+odin,debug-source-00023,Cajun Chicken and Sausage Gumbo,2.99,DBG00000023,Soups and Ladles,Soups,Gumbo,pos_ready,false,,,,,,,
row-24,recipe+odin,debug-source-00024,Cajun Chicken Fettuccine Alfredo,5.05,DBG00000024,Entrees,Plated Entree,Cjn Chk Ftt Al,pos_ready,false,,,,,,,
row-25,recipe+odin,debug-source-00025,Cajun Fries,2.70,DBG00000025,Salads and Sides,Plated Sides,Cajun Fries,pos_ready,false,,,,,,,
row-26,recipe,debug-source-00026,Cajun Pulled Pork Sandwich,4.75,DBG00000026,,Plated Entree,Cjn PldPork Snd,pos_ready,false,,,,,,,
row-27,recipe+odin,debug-source-00027,Cajun-Roasted Cabbage,2.70,DBG00000027,Salads and Sides,Plated Sides,CajunRoCabbage,pos_ready,false,,,,,,,
row-28,recipe+odin,debug-source-00028,Caprese Pesto Sandwich,4.50,DBG00000028,Sandwiches,Transit Entree,CprsPstSand,pos_ready,false,,,,,,,
row-29,recipe,debug-source-00029,Cheddar Cheese,,DBG00000029,,,,deleted,false,operator deleted,,,,,,missing category; missing or invalid price
row-30,recipe+odin,debug-source-00030,Cheese and Broccoli Quinoa,5.05,DBG00000030,Entrees,Plated Entree,Chz Broc Quinoa,pos_ready,false,,,,,,,
row-31,recipe+odin,debug-source-00031,Cheese Grits,2.15,DBG00000031,Breakfast,Breakfast,Chz Grits,pos_ready,false,,,,,,,
row-32,recipe+odin,debug-source-00032,Cheese Pizza,3.00,"DBG00000032,DBG00000324",Entrees,Plated Entree,Chz Pzza,pos_ready,true,,,,,,,
row-33,recipe+odin,debug-source-00033,Cheese Quesadillas,4.00,DBG00000033,Entrees,,,deleted,false,operator deleted,,,,,,
row-34,recipe+odin,debug-source-00034,Cheeseburgers,4.75,DBG00000034,Entrees,Plated Entree,Cheeseburgers,pos_ready,false,,,,,,,
row-35,recipe+odin,debug-source-00035,Chicken and Rice Soup,2.99,DBG00000035,Soups and Ladles,Soups,Chick Rice Soup,pos_ready,false,,,,,,,
row-36,recipe+odin,debug-source-00036,Chicken and Sausage Jambalaya,5.05,DBG00000036,Entrees,Plated Entree,Jambalaya,pos_ready,false,,,,,,,
row-37,recipe,debug-source-00037,Chicken and Waffle Sandwich with Sriracha Honey,4.75,DBG00000037,,Plated Entree,ChkWfflSandSrrc,pos_ready,false,,,,,,,
row-38,recipe+odin,debug-source-00038,Chicken Bites,4.75,DBG00000038,Entrees,Plated Entree,Chick Bites,pos_ready,false,,,,,,,
row-39,recipe+odin,debug-source-00039,Chicken Caesar Wrap,3.25,DBG00000039,Sandwiches,Transit Entree,Chk Caesar Wrap,pos_ready,false,,,,,,,
row-40,recipe+odin,debug-source-00040,Chicken Nuggets,4.75,DBG00000040,Entrees,Plated Entree,Chick Nuggets,pos_ready,false,,,,,,,
row-41,recipe+odin,debug-source-00041,Chicken Parm,5.05,DBG00000041,Entrees,Plated Entree,Chick Parm,pos_ready,false,,,,,,,
row-42,recipe+odin,debug-source-00042,Chicken Salad Bento Box,5.75,DBG00000042,Entrees,Plated Entree,ChkSldBntBox,pos_ready,false,,,,,,,
row-43,recipe+odin,debug-source-00043,Chicken Salad on Brioche,4.50,DBG00000043,Sandwiches,Transit Entree,Chk Sld Brch,pos_ready,false,,,,,,,
row-44,recipe+odin,debug-source-00044,Chicken Salad Sandwich,4.50,DBG00000044,Sandwiches,Transit Entree,Chk Salad Sand,pos_ready,false,,,,,,,
row-45,recipe,debug-source-00045,Chicken Salad Wrap,3.25,DBG00000045,,Transit Entree,Chk Salad Wrap,pos_ready,false,,,,,,,
row-46,recipe+odin,debug-source-00046,Chicken Tender and Ranch Wrap,3.25,DBG00000046,Sandwiches,Transit Entree,ChkTndrRnchWrap,pos_ready,false,,,,,,,
row-47,recipe+odin,debug-source-00047,Chicken Tender Caesar Wrap,3.25,DBG00000047,Sandwiches,Transit Entree,Chk Cae Wrap,pos_ready,false,,,,,,,
row-48,recipe+odin,debug-source-00048,Chicken Tenders,4.75,DBG00000048,Entrees,Plated Entree,Chick Tenders,pos_ready,false,,,,,,,
row-49,recipe+odin,debug-source-00049,"Chicken, Bacon, and Ranch Pizza",4.75,DBG00000049,Entrees,Plated Entree,ChkBcnRanchPzza,pos_ready,false,,,,,,,
row-50,recipe,debug-source-00050,Chipotle Barbecue Sauce,,DBG00000050,,,,deleted,false,operator deleted,,,,,,missing category; missing or invalid price
row-51,recipe+odin,debug-source-00051,Chocolate Chip Cookie Pudding Parfait,3.75,DBG00000051,Transit,Transit Non-Entree,Choc Cook Pud,pos_ready,false,,,,,,,
row-52,recipe+odin,debug-source-00052,Chocolate Chip Cookies,2.10,DBG00000052,Desserts/Snacks,Trayed Desserts,ChocChipCookies,pos_ready,false,,,,,,,
row-53,recipe+odin,debug-source-00053,Cinnamon Rolls,2.75,DBG00000053,Breakfast,Breakfast,Cin Rolls,pos_ready,false,,,,,,,
row-54,recipe,debug-source-00054,Cornbread Croutons,,DBG00000054,,,,deleted,false,operator deleted,,,,,,missing category; missing or invalid price
row-55,recipe+odin,debug-source-00055,Cream of Tomato Soup,2.99,DBG00000055,Soups and Ladles,Soups,Cream Tom Soup,pos_ready,false,,,,,,,
row-56,recipe,debug-source-00056,Cuisine from Cuba,,DBG00000056,,,,deleted,false,operator deleted,,,,,,duplicate barcode; missing category; missing or invalid price
row-57,recipe,debug-source-00057,Cuisine From the Middle East,,DBG00000056,,,,deleted,false,operator deleted,,,,,,duplicate barcode; missing category; missing or invalid price
row-58,recipe+odin,debug-source-00058,Curly Fries,2.70,DBG00000057,Salads and Sides,Plated Sides,Curly Fries,pos_ready,false,,,,,,,
row-59,recipe+odin,debug-source-00059,Dinner Rolls,0.95,DBG00000058,Bread,Bread,Dinner Rolls,pos_ready,false,,,,,,,
row-60,recipe+odin,debug-source-00060,Double Chocolate Muffins,3.00,DBG00000059,Breakfast,Breakfast,Choc Muff,pos_ready,false,,,,,,,
row-61,recipe,debug-source-00061,Egg Drop Soup,2.99,DBG00000060,,Soups,Egg Drop Soup,pos_ready,false,,,,,,,
row-62,recipe+odin,debug-source-00062,Eggplant Parmesan,5.05,DBG00000061,Entrees,Plated Entree,EggplnPrmsn,pos_ready,false,,,,,,,
row-63,recipe+odin,debug-source-00063,French Fries,2.70,DBG00000062,Salads and Sides,Plated Sides,French Fries,pos_ready,false,,,,,,,
row-64,recipe+odin,debug-source-00064,Fresh-Brewed Coffee,1.50,DBG00000063,Beverages,House-made Beverages,Hot Coffee,pos_ready,false,,,,,,,
row-65,recipe+odin,debug-source-00065,Fried Chicken Sandwich,4.75,DBG00000064,Entrees,Plated Entree,Fried Chk Sand,pos_ready,false,,,,,,,
row-66,recipe+odin,debug-source-00066,Fried French Toast Sticks,2.75,DBG00000065,Breakfast,Breakfast,FT Sticks,pos_ready,false,,,,,,,
row-67,recipe+odin,debug-source-00067,Fruit and Vanilla Yogurt Parfait,3.75,DBG00000066,Transit,Transit Non-Entree,Van Yog Parf,pos_ready,false,,,,,,,
row-68,recipe+odin,debug-source-00068,Garden Salad,4.75,DBG00000067,Entrees,Transit Entree,Garden Salad,pos_ready,false,,,,,,,
row-69,recipe+odin,debug-source-00069,Garlic Butter Breadsticks,0.95,DBG00000068,Bread,Bread,GrlcBttrBrdstc,pos_ready,false,,,,,,,
row-70,recipe+odin,debug-source-00070,Grilled Cheese on Texas Toast,4.75,DBG00000069,Entrees,Plated Entree,GrldChz Txt,pos_ready,false,,,,,,,
row-71,recipe+odin,debug-source-00071,Grilled Hamburgers with Bun,4.75,"DBG00000070,DBG00000343",Entrees,Plated Entree,Grld Hmbrgr,pos_ready,true,,,,,,,
row-72,recipe+odin,debug-source-00072,Grits,2.15,DBG00000071,Breakfast,,,deleted,false,operator deleted,,,,,,
row-73,recipe+odin,debug-source-00073,Ham and Cheese Croissant,4.50,DBG00000072,Sandwiches,Transit Entree,Ham Chz Croi,pos_ready,false,,,,,,,
row-74,recipe+odin,debug-source-00074,Ham and Cheese Sandwich,4.50,DBG00000073,Sandwiches,Transit Entree,Ham Chz Sand,pos_ready,false,,,,,,,
row-75,recipe+odin,debug-source-00075,Ham and Cheese Slider,4.50,DBG00000074,Sandwiches,Transit Entree,Ham Chz Slider,pos_ready,false,,,,,,,
row-76,recipe+odin,debug-source-00076,Ham and Cheese Sub,4.50,DBG00000075,Sandwiches,Transit Entree,Ham Chz Sub,pos_ready,false,,,,,,,
row-77,recipe+odin,debug-source-00077,Ham and Provolone Croissant,4.50,DBG00000076,Sandwiches,Transit Entree,HP Croi,pos_ready,false,,,,,,,
row-78,recipe+odin,debug-source-00078,Ham and Swiss Pretzel Roll,4.50,DBG00000077,Sandwiches,Transit Entree,HamSwssPrtzlRol,pos_ready,false,,,,,,,
row-79,recipe+odin,debug-source-00079,Ham and Swiss Wrap,3.25,DBG00000078,Sandwiches,Transit Entree,Ham Swiss Wrap,pos_ready,false,,,,,,,
row-80,recipe+odin,debug-source-00080,Honey BBQ Chicken Wrap,4.75,DBG00000079,Entrees,Plated Entree,HonBbqChkWrap,pos_ready,false,,,,,,,
row-81,recipe+odin,debug-source-00081,Honey Butter Chicken Biscuit,3.75,DBG00000080,Breakfast,Breakfast,HnyBttrChkBsct,pos_ready,false,,,,,,,
row-82,recipe+odin,debug-source-00082,Honey Mustard Chicken Tender Wrap,3.25,"DBG00000081,DBG00000438",Sandwiches,Transit Entree,HonMstChkTenWrp,pos_ready,true,,,,,,,
row-83,recipe+odin,debug-source-00083,Honey-Glazed Cornbread,0.95,DBG00000082,Bread,Bread,HnyGlzdCrnbrd,pos_ready,false,,,,,,,
row-84,recipe+odin,debug-source-00084,Hot Chocolate,4.50,DBG00000083,Beverages,House-made Beverages,Hot Choccolate,pos_ready,false,,,,,,,
row-85,recipe,debug-source-00085,House-Made Basil Pesto,,DBG00000084,,,,deleted,false,operator deleted,,,,,,missing category; missing or invalid price
row-86,recipe+odin,debug-source-00086,House-Made Granola,0.30,DBG00000085,Breakfast,Transit Non-Entree,HM Granola,pos_ready,false,,,,,,,
row-87,recipe+odin,debug-source-00087,House-Made Guacamole,0.80,DBG00000086,Misc,Plated Sides,HM Guacamole,pos_ready,false,,,,,,,
row-88,recipe,debug-source-00088,House-Roasted Pulled Pork,5.05,DBG00000087,,Plated Entree,HRoastPullPork,pos_ready,false,,,,,,,
row-89,recipe+odin,debug-source-00089,House-Roasted Turkey and Ham on Ciabatta,4.50,DBG00000088,Sandwiches,Transit Entree,HRTrkyHamCia,pos_ready,false,,,,,,,
row-90,recipe+odin,debug-source-00090,Hummus and Pita Chips,4.00,DBG00000089,Entrees,Transit Non-Entree,HummusPitaChips,pos_ready,false,,,,,,,
row-91,recipe+odin,debug-source-00091,Italian Herb-Roasted Tomatoes,2.70,DBG00000090,Salads and Sides,Plated Sides,IT Ro Tom,pos_ready,false,,,,,,,
row-92,recipe+odin,debug-source-00092,Italian Wedding Soup,2.99,DBG00000091,Soups and Ladles,Soups,IT Wed Soup,pos_ready,false,,,,,,,
row-93,recipe+odin,debug-source-00093,Lemonade,1.40,DBG00000092,Beverages,House-made Beverages,,deleted,false,merged into row-532,row-532,DBG00000092,DBG00000218,"DBG00000218,DBG00000092",2026-07-19T00:00:00,operator review; barcode transferred to row-532
row-94,recipe+odin,debug-source-00094,Linguine,2.70,DBG00000093,Salads and Sides,Plated Sides,Linguine,pos_ready,false,,,,,,,
row-95,recipe+odin,debug-source-00095,Louisiana-Style Dipping Sauce,0.00,DBG00000094,Misc,,,deleted,false,operator deleted,,,,,,
row-96,recipe+odin,debug-source-00096,Mac & Cheese,5.05,DBG00000095,Entrees,Plated Entree,Mac Chz,pos_ready,false,,,,,,,
row-97,recipe,debug-source-00097,Marinara Sauce,,DBG00000096,,,,deleted,false,operator deleted,,,,,,missing category; missing or invalid price
row-98,recipe,debug-source-00098,Mexican Chicken Quesadillas,4.75,DBG00000097,,Plated Entree,MxChkQuedillas,pos_ready,false,,,,,,,
row-99,recipe,debug-source-00099,Milk (2%),2.00,DBG00000098,,,,deleted,false,operator deleted,,,,,,
row-100,recipe+odin,debug-source-00100,Mixed Berry and Vanilla Yogurt Cup,3.75,DBG00000099,Transit,Transit Non-Entree,MixBryVanlYog,pos_ready,false,,,,,,,
row-101,recipe+odin,debug-source-00101,Oreo® Cheesecake,3.75,DBG00000100,Desserts/Snacks,Packaged Desserts,Oreo Cheesecake,pos_ready,false,,,,,,,
row-102,recipe+odin,debug-source-00102,Oreo® Chocolate Pudding Parfait,3.75,DBG00000101,Transit,Transit Non-Entree,OreoPuddParf,pos_ready,false,,,,,,,
row-103,recipe,debug-source-00103,Parmesan Cheese,,DBG00000102,,,,deleted,false,operator deleted,,,,,,missing category; missing or invalid price
row-104,recipe,debug-source-00104,Pasta with Marinara,,DBG00000103,,Plated Entree,,deleted,false,merged into row-555,row-555,DBG00000103,DBG00000362,"DBG00000362,DBG00000103",2026-07-19T00:00:00,duplicate name; missing or invalid price; barcode transferred to row-555
row-105,recipe+odin,debug-source-00105,Penne,2.70,DBG00000104,Salads and Sides,Plated Sides,Penne,pos_ready,false,,,,,,,
row-106,recipe+odin,debug-source-00106,Pepperoni Pizza,3.50,DBG00000105,Entrees,Plated Entree,Pep Pzza,pos_ready,false,,,,,,,
row-107,recipe+odin,debug-source-00107,"Pepperoni, Cheese, Grapes, and Crackers Pack",5.75,DBG00000106,Entrees,Transit Entree,PepChzGrpsCrckr,pos_ready,false,,,,,,,
row-108,recipe+odin,debug-source-00108,Pesto Chicken Wrap,3.25,DBG00000107,Sandwiches,Transit Entree,Pesto Chk Wrap,pos_ready,false,,,,,,,
row-109,recipe+odin,debug-source-00109,Pesto Pasta Alfredo,5.05,DBG00000108,Entrees,Plated Entree,Pesto Pasta Al,pos_ready,false,,,,,,,
row-110,recipe+odin,debug-source-00110,Pork Egg Rolls,2.00,DBG00000109,Salads and Sides,Plated Sides,Pork Egg Rolls,pos_ready,false,,,,,,,
row-111,recipe+odin,debug-source-00111,Ranch Dressing,0.00,DBG00000110,Misc,,,deleted,false,operator deleted,,,,,,
row-112,recipe+odin,debug-source-00112,Red Beans and Rice,5.05,DBG00000111,Entrees,Plated Entree,Red Beans Rice,pos_ready,false,,,,,,,
row-113,recipe+odin,debug-source-00113,Roasted Summer Squash,2.70,DBG00000112,Salads and Sides,Plated Sides,RoSummerSquash,pos_ready,false,,,,,,,
row-114,recipe,debug-source-00114,Roasted Tomatoes,2.7,DBG00000113,,Plated Sides,Ro Tomatoes,pos_ready,true,,,,,,,
row-115,recipe+odin,debug-source-00115,Salsa,0.00,DBG00000114,Misc,,,deleted,false,operator deleted,,,,,,
row-116,recipe+odin,debug-source-00116,Sausage Biscuit,3.75,DBG00000115,Breakfast,Breakfast,Saus Biscuit,pos_ready,false,,,,,,,
row-117,recipe+odin,debug-source-00117,"Sausage, Egg, and Cheese on English Muffin",3.75,DBG00000116,Breakfast,Breakfast,SEC Eng Muff,pos_ready,false,,,,,,,
row-118,recipe,debug-source-00118,Sautéed Summer Squash with Tomatoes,2.70,DBG00000117,,Plated Sides,StSmmrSqshTom,pos_ready,false,,,,,,,
row-119,recipe+odin,debug-source-00119,Scrambled Eggs,2.00,DBG00000118,Breakfast,Breakfast,Scrambled Eggs,pos_ready,false,,,,,,,
row-120,recipe+odin,debug-source-00120,Seasoned White Beans,2.70,DBG00000119,Salads and Sides,Plated Sides,SsnWhtBns,pos_ready,false,,,,,,,
row-121,recipe+odin,debug-source-00121,Sesame Fried Rice,2.70,DBG00000120,Salads and Sides,Plated Sides,SesameFriedRice,pos_ready,false,,,,,,,
row-122,recipe,debug-source-00122,Shrimp and Bacon with Pesto-Alfredo Sauce,6.05,DBG00000121,,Plated Entree,ShrmpBcnPstAlfr,pos_ready,false,,,,,,,
row-123,recipe+odin,debug-source-00123,Sour Cream,0.00,DBG00000122,Misc,,,deleted,false,operator deleted,,,,,,
row-124,recipe+odin,debug-source-00124,Spa Water,0.00,DBG00000123,Misc,,,deleted,false,operator deleted,,,,,,
row-125,recipe+odin,debug-source-00125,Spicy Tofu and Broccoli Stir-Fry (GF),5.05,DBG00000124,Entrees,Plated Entree,SpcyTofuBrcclSt,pos_ready,false,,,,,,,
row-126,recipe+odin,debug-source-00126,Steamed Broccoli,2.70,DBG00000125,Salads and Sides,Plated Sides,St Broc,pos_ready,false,,,,,,,
row-127,recipe+odin,debug-source-00127,Steamed Edamame,2.70,DBG00000126,Salads and Sides,Plated Sides,St Edamame,pos_ready,false,,,,,,,
row-128,recipe+odin,debug-source-00128,Steamed Green Beans,2.70,DBG00000127,Salads and Sides,Plated Sides,St Green Beans,pos_ready,false,,,,,,,
row-129,recipe+odin,debug-source-00129,Steamed White Rice,2.70,DBG00000128,Salads and Sides,Plated Sides,St White Rice,pos_ready,false,,,,,,,
row-130,recipe+odin,debug-source-00130,Stewed Okra and Tomatoes,2.70,DBG00000129,Salads and Sides,Plated Sides,StwdOkraTmts,pos_ready,false,,,,,,,
row-131,recipe+odin,debug-source-00131,Strawberries and Cream Cup,3.30,DBG00000130,Transit,Transit Non-Entree,StrwbrCrmCup,pos_ready,false,,,,,,,
row-132,recipe+odin,debug-source-00132,Strawberry Yogurt and Mixed Berry Parfait,3.75,DBG00000131,Transit,Transit Non-Entree,StrwYgrtMxdBrry,pos_ready,false,,,,,,,
row-133,recipe+odin,debug-source-00133,Strawberry Yogurt and Strawberry Cup,3.75,DBG00000132,Transit,Transit Non-Entree,StrwYgrtStrwCup,pos_ready,false,,,,,,,
row-134,recipe+odin,debug-source-00134,String Cheese,1.25,DBG00000133,Transit,Transit Non-Entree,String Chz,pos_ready,false,,,,,,,
row-135,recipe+odin,debug-source-00135,Sweet & Sour Tofu,3.50,DBG00000134,Entrees,Plated Entree,SS Tofu,pos_ready,false,,,,,,,
row-136,recipe,debug-source-00136,Sweet and Sour Chicken,5.05,"DBG00000135,DBG00000382",,Plated Entree,SS Chick,pos_ready,true,,,,,,,
row-137,recipe+odin,debug-source-00137,Sweetened Iced Tea,1.40,DBG00000136,Beverages,House-made Beverages,Swt Tea,pos_ready,false,,,,,,,
row-138,recipe+odin,debug-source-00138,Tater Tots,2.70,DBG00000137,Salads and Sides,Plated Sides,Tater Tots,pos_ready,false,,,,,,,
row-139,recipe+odin,debug-source-00139,Teriyaki Tori Niku (Authentic Chicken Teriyaki),5.05,DBG00000138,Entrees,Plated Entree,Teri Chick,pos_ready,false,,,,,,,
row-140,recipe+odin,debug-source-00140,Tomato and Vegetable Soup,2.99,DBG00000139,Soups and Ladles,Soups,Tom Veg Soup,pos_ready,false,,,,,,,
row-141,recipe+odin,debug-source-00141,Tomato-Basil Flatbread Pizza,4.25,DBG00000140,Entrees,,,deleted,false,operator deleted,,,,,,
row-142,recipe+odin,debug-source-00142,Turkey and Provolone Sandwich,4.50,DBG00000141,Sandwiches,Transit Entree,TP Sand,pos_ready,false,,,,,,,
row-143,recipe+odin,debug-source-00143,Turkey Club Croissant with Cheese,4.50,DBG00000142,Sandwiches,Transit Entree,Turk Club Croi,pos_ready,false,,,,,,,
row-144,recipe+odin,debug-source-00144,Vegetarian Red Beans and Rice,5.05,DBG00000143,Entrees,Plated Entree,VegRedBeansRice,pos_ready,false,,,,,,,
row-145,recipe+odin,debug-source-00145,Vietnamese Coffee,3.50,DBG00000144,Beverages,House-made Beverages,Viet Coffee,pos_ready,false,,,,,,,
row-146,recipe+odin,debug-source-00146,Waffle Fries,2.70,DBG00000145,Salads and Sides,Plated Sides,Waffle Fries,pos_ready,false,,,,,,,
row-147,recipe+odin,debug-source-00147,Waffles,3.00,DBG00000146,Breakfast,Breakfast,Waffles,pos_ready,false,,,,,,,
row-148,recipe+odin,debug-source-00148,Water,1.60,DBG00000147,Beverages,,,deleted,false,operator deleted,,,,,,
row-149,recipe+odin,debug-source-00149,Whole Dill Pickle,2.00,DBG00000148,Transit,Transit Non-Entree,WholeDillPickle,pos_ready,false,,,,,,,
row-150,recipe+odin,debug-source-00150,Bacon Cheeseburger Combo,6.50,"DBG00000149,DBG00000297",Entrees,Plated Entree,Bcn Chzbrg Cmb,pos_ready,true,,,,,,,
row-151,recipe+odin,debug-source-00151,Bang Bang Rice and Noodle Bowl,6.10,DBG00000150,Entrees,Plated Entree,BangRiceNdlBwl,pos_ready,false,,,,,,,
row-152,recipe+odin,debug-source-00152,Build Your Own Mediterranean Bowl,6.10,DBG00000151,Entrees,Plated Entree,Med Bowl,pos_ready,false,,,,,,,
row-153,recipe+odin,debug-source-00153,Build-Your-Own BBQ Bowl,6.10,DBG00000152,Entrees,Plated Entree,BBQ Bwl,pos_ready,false,,,,,,,
row-154,recipe+odin,debug-source-00154,Build-Your-Own Cuban Plate,6.10,DBG00000153,Entrees,Plated Entree,Cuban Bowl,pos_ready,false,,,,,,,
row-155,recipe+odin,debug-source-00155,Build-Your-Own Sushi Bowl,7.10,DBG00000154,Entrees,Plated Entree,Sushi Bowl,pos_ready,false,,,,,,,
row-156,recipe+odin,debug-source-00156,Burrito Bowl or Burrito,6.10,DBG00000155,Entrees,Plated Entree,Burr Bowl,pos_ready,false,,,,,,,
row-157,recipe+odin,debug-source-00157,Cajun Cheeseburger Combo,6.50,DBG00000156,Entrees,Plated Entree,CajunChzbrgCmb,pos_ready,false,,,,,,,
row-158,recipe+odin,debug-source-00158,Cajun Chicken Alfredo Combo,6.10,DBG00000157,Entrees,Plated Entree,CajunChickAlCmb,pos_ready,false,,,,,,,
row-159,recipe,debug-source-00159,Cajun Pulled Pork Sandwich Combo,6.50,DBG00000158,,Plated Entree,CjnPldPrkSndCmb,pos_ready,false,,,,,,,
row-160,recipe+odin,debug-source-00160,Caprese Pesto Sandwich Combo,6.50,DBG00000159,Sandwiches,Plated Entree,CprsPstSandCmb,pos_ready,false,,,,,,,
row-161,recipe+odin,debug-source-00161,Cheese Pizza Combo,5.50,"DBG00000160,DBG00000325",Entrees,Plated Entree,Chz Pizza Cmb,pos_ready,true,,,,,,,
row-162,recipe+odin,debug-source-00162,Cheeseburger Combo,6.50,DBG00000161,Entrees,Plated Entree,Chzbrg Cmb,pos_ready,false,,,,,,,
row-163,recipe,debug-source-00163,Cheeseburger Toppings,,DBG00000162,,,,deleted,false,operator deleted,,,,,,missing category; missing or invalid price
row-164,recipe,debug-source-00164,Chicken and Waffle Sandwich Combo,6.50,DBG00000163,,Plated Entree,ChkWfflSandCmb,pos_ready,false,,,,,,,
row-165,recipe+odin,debug-source-00165,Chicken Bacon Ranch Pizza Combo,6.50,DBG00000164,Entrees,Plated Entree,ChkBcnRnchPzzCm,pos_ready,false,,,,,,,
row-166,recipe+odin,debug-source-00166,Chicken Bites Combo,6.50,DBG00000165,Entrees,Plated Entree,Chick Bites Cmb,pos_ready,false,,,,,,,
row-167,recipe+odin,debug-source-00167,Chicken Nugget Combo,6.50,DBG00000166,Entrees,Plated Entree,Chk Nugget Cmb,pos_ready,false,,,,,,,
row-168,recipe+odin,debug-source-00168,Chicken Parm Combo,6.10,DBG00000167,Entrees,Plated Entree,Chick Parm Cmb,pos_ready,false,,,,,,,
row-169,recipe+odin,debug-source-00169,Free Style Protein Pack,5.75,DBG00000168,Entrees,Plated Entree,FS Pro Pack,pos_ready,false,,,,,,,
row-170,recipe+odin,debug-source-00170,Free Style™ Grits Bar,4.00,DBG00000169,Breakfast,,,deleted,false,operator deleted,,,,,,
row-171,recipe+odin,debug-source-00171,Fresh For You Salad Bar,6.25,DBG00000170,Salads and Sides,,,deleted,false,operator deleted,,,,,,
row-172,recipe+odin,debug-source-00172,Fried Chicken Sandwich Combo,6.50,DBG00000171,Entrees,Plated Entree,FriedChkSandCmb,pos_ready,false,,,,,,,
row-173,recipe,debug-source-00173,Grilled Burger Topping Bar,,DBG00000172,,,,deleted,false,operator deleted,,,,,,missing category; missing or invalid price
